UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
153533001,Iowa Lakes Community College,186400,Iowa Lakes Community College - Estherville,300 S 18th Street,Estherville,IA,51334,4,"Public, 2-year",895.0,1065.0,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"300 S 18th Street, Estherville, IA 51334",43.3971588,-94.81718028378953
153533002,Iowa Lakes Community College,186400,Iowa Lakes Community College - Emmetsburg,3200 College Drive,Emmetsburg,IA,50536,4,"Public, 2-year",895.0,1065.0,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3200 College Drive, Emmetsburg, IA 50536",43.123754,-94.692729
153603002,Iowa State University,186900,Rome Studios Campus,"Piazza delle Cinque Scole 23, int. 3",Rome,,00186,1,"Public, 4-year or above",16417.0,13552.0,29969.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288
153603003,Iowa State University,186900,Iowa State University-Uganda Program,"Mpirigiti Rural Training Centre, Bugabula Block 10, PO Box 218",Kamuli,,,1,"Public, 4-year or above",16417.0,13552.0,29969.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288
153630002,Iowa Western Community College,459800,Clarinda Center,923 East Washington,Clarinda,IA,51632,4,"Public, 2-year",2425.0,2917.0,5342.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"923 East Washington, Clarinda, IA 51632",40.739141,-95.02719573469388
153630003,Iowa Western Community College,459800,Cass County Center,705 Walnut Street,Atlantic,IA,50022,4,"Public, 2-year",2425.0,2917.0,5342.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"705 Walnut Street, Atlantic, IA 50022",41.4038492244898,-95.01173408163264
153630004,Iowa Western Community College,459800,Page Fremont Center,1001 W Sheridan Avenue,Shenandoah,IA,51601,4,"Public, 2-year",2425.0,2917.0,5342.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1001 W Sheridan Avenue, Shenandoah, IA 51601",40.766018,-95.378525
153658003,University of Iowa,189200,John and Mary Pappajohn Education Center,1200 Grand Avenue,Des Moines,IA,50309,1,"Public, 4-year or above",13316.0,16699.0,30015.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1200 Grand Avenue, Des Moines, IA 50309",41.58588195,-93.6330320492719
153737001,Kirkwood Community College,407600,Kirkwood Community College,6301 Kirkwood Blvd SW,Cedar Rapids,IA,52404,4,"Public, 2-year",5487.0,6919.0,12406.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"6301 Kirkwood Blvd SW, Cedar Rapids, IA 52404",41.917456092587486,-91.656552
153737002,Kirkwood Community College,407600,Benton County Center,111 West 3rd St.,Vinton,IA,52349,4,"Public, 2-year",5487.0,6919.0,12406.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"111 West 3rd St., Vinton, IA 52349",42.16875959007941,-92.0245565114992
