UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
185970001,P B Cosmetology Education Center,1062900,Main Campus,110 MONMOUTH ST,GLOUCESTER CITY,NJ,08030,9,"Private for-profit, less-than 2-year",11.0,124.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"110 MONMOUTH ST, GLOUCESTER CITY, NJ 08030",39.89902011092698,-75.12641753152906
186052001,Pennco Tech-Blackwood,2131600,Blackwood,99 ERIAL ROAD,BLACKWOOD,NJ,08012,6,"Private for-profit, 2-year",740.0,146.0,886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"99 ERIAL ROAD, BLACKWOOD, NJ 08012",39.8072781,-75.0616379
186186001,Rabbinical College of America,860900,Main Campus,226 SUSSEX AVE,MORRISTOWN,NJ,07960,2,"Private nonprofit, 4-year or above",203.0,0.0,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"226 SUSSEX AVE, MORRISTOWN, NJ 07960",40.8057449,-74.499023
186274001,Robert Fiance Beauty Schools,1209000,Robert Fiance Beauty Schools,312 STATE ST,PERTH AMBOY,NJ,08861,9,"Private for-profit, less-than 2-year",16.0,191.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"312 STATE ST, PERTH AMBOY, NJ 08861",40.508918461538464,-74.26747923076924
186274002,Robert Fiance Beauty Schools,1209000, Robert Fiance Beauty School - Boyton Beach ,552 E Woolbright Rd ,Boynton Beach ,FL,33435,9,"Private for-profit, less-than 2-year",16.0,191.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"552 E Woolbright Rd , Boynton Beach , FL 33435",26.51447446236559,-80.0592715483871
186283002,Rider University,262800,Westminster Choir College of Rider University,101 Walnut Lane,Princeton,NJ,08540,2,"Private nonprofit, 4-year or above",1653.0,2401.0,4054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"101 Walnut Lane, Princeton, NJ 08540",40.357103,-74.654119
186371001,Rutgers University-Camden,262901,Rutgers University-Camden,303 Cooper Street,CAMDEN,NJ,08102,1,"Public, 4-year or above",2403.0,3563.0,5966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"303 Cooper Street, CAMDEN, NJ 08102",39.947263612244896,-75.12325240816327
186371002,Rutgers University-Camden,262901,Rutgers at Burlington County College,900 College Circle,Mount Laurel,NJ,08054,1,"Public, 4-year or above",2403.0,3563.0,5966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"900 College Circle, Mount Laurel, NJ 08054",39.97218985,-74.89439623553321
186380006,Rutgers University-New Brunswick,262900,Rutgers at County College of Morris,214 Center Grove Road,Randolph,NJ,07869,1,"Public, 4-year or above",23354.0,27283.0,50637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"214 Center Grove Road, Randolph, NJ 07869",40.85513697744628,-74.57655069415793
186380008,Rutgers University-New Brunswick,262900,Rutgers at Brookdale Community College Lincroft Campus,765 Newman Springs Road,Lincroft,NJ,07738,1,"Public, 4-year or above",23354.0,27283.0,50637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"765 Newman Springs Road, Lincroft, NJ 07738",40.3258392,-74.13149346368671
