UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
100654001,Alabama A & M University,100200,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2369.0,3638.0,6007.0,4.0,5.0,0.0,1.0,4.0,0.0,1.0,6.0,0.0,1,1,1,"4900 MERIDIAN ST, NORMAL, AL 35762",34.781336°,-86.569823°
100663001,University of Alabama at Birmingham,105200,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7903.0,13736.0,21639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So, BIRMINGHAM, AL 352940110",33.505764°,-86.799204°
100663002,University of Alabama at Birmingham,105200,Huntsville Regional Medical Campus,301 Governors Drive SW,Huntsville,AL,35801,1,"Public, 4-year or above",7903.0,13736.0,21639.0,,,,,,,,,,1,1,1,"301 Governors Drive SW, Huntsville, AL 35801",34.719547°,-86.583592°
100706001,University of Alabama in Huntsville,105500,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",5333.0,3904.0,9237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"301 SPARKMAN DR, HUNTSVILLE, AL 35899",34.724911°,-86.640491°
100724001,Alabama State University,100500,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 4-year or above",1347.0,2481.0,3828.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,1,1,1,"915 SOUTH JACKSON ST, MONTGOMERY, AL 361040271",32.365014°,-86.295702°
100751001,The University of Alabama,105100,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16506.0,22138.0,38644.0,0.0,29.0,0.0,0.0,13.0,0.0,2.0,13.0,2.0,1,1,1,"1110 Jackson Ave, TUSCALOOSA, AL 354870180",33.203199°,-87.533696°
100751002,The University of Alabama,105100,University of Alabama Gadsden Center,P.O. Box 1280,Gadsden,AL,359021280,1,"Public, 4-year or above",16506.0,22138.0,38644.0,,,,,,,,,,1,1,1,"P.O. Box 1280, Gadsden, AL 359021280",30.12606°,31.348424°
100760001,Central Alabama Community College,100700,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4,"Public, 2-year",751.0,1026.0,1777.0,,,,,,,,,,1,1,1,"1675 Cherokee Rd, Alexander City, AL 35010",32.91677°,-85.951178°
100760002,Central Alabama Community College,100700,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4,"Public, 2-year",751.0,1026.0,1777.0,,,,,,,,,,1,1,1,"34091 Highway 280, Childersburg, AL 35044",33.355023°,-86.604872°
100760003,Central Alabama Community College,100700,Talladega Campus,1009 South Street East,Talladega,AL,35160,4,"Public, 2-year",751.0,1026.0,1777.0,,,,,,,,,,1,1,1,"1009 South Street East, Talladega, AL 35160",33.43526°,-86.086606°
100760004,Central Alabama Community College,100700,Prattville Campus,1320 Old Ridge Road  ,Prattville,AL,36066,4,"Public, 2-year",751.0,1026.0,1777.0,,,,,,,,,,1,1,1,"1320 Old Ridge Road  , Prattville, AL 36066",32.503368°,-86.427681°
100812001,Athens State University,100800,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611,1,"Public, 4-year or above",887.0,2007.0,2894.0,,,,,,,,,,1,1,1,"300 N BEATY ST, ATHENS, AL 35611",34.805619°,-86.965486°
100830001,Auburn University at Montgomery,831000,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1900.0,3209.0,5109.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,"7400 EAST DRIVE, MONTGOMERY, AL 361173596",32.368191°,-86.176434°
100858001,Auburn University,100900,Auburn University,182 South College Street,Auburn,AL,36849,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,15.0,6.0,0.0,11.0,0.0,1.0,7.0,0.0,1,1,1,"182 South College Street, Auburn, AL 36849",32.604636°,-85.48285°
100858002,Auburn University,100900,Joseph S Bruno Auburn Abroad Italy,Via del Parco 149,Ariccia,,00072,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,41.720653°,12.670349°
100858003,Auburn University,100900,Solon Dixon Forestry Education Center,12130 Dixon Center Road,Andalusia,AL,36420,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"12130 Dixon Center Road, Andalusia, AL 36420",31.307217°,-86.481635°
