Type,Date,Description,Address
Assault,09/27/2024 9:37 PM,Assault. 18 2701 A1 Simple Assault-General,"400 BLOCK OF ELLA ST, Pittsburgh, PA"
Assault,09/27/2024 11:01 AM,Assault. 18 2701 A1 Simple Assault-General,"3400 BLOCK OF FORBES AVE, Pittsburgh, PA"
Assault,09/27/2024 3:38 AM,Assault. 18 5104 Resisting Arrest,"100 BLOCK OF LOTHROP ST, Pittsburgh, PA"
Assault,09/27/2024 2:00 AM,A Report Of An Assault That Occurred In The Area.,"SEMPLE AND WARD STREETS, Pittsburgh, PA"
Vandalism,09/26/2024 4:38 AM,Vandalism. 18 3304 A1 Criminal Mischief- Destruction/Damage/Vandalism of Property- Basic Charge-$500 Or Less,"4700 BLOCK OF LIBERTY AVE, Pittsburgh, PA"
Theft,09/25/2024 9:08 AM,Vehicle Break-In / Theft. 18 3934 A Theft from a Motor Vehicle- Value is Less Than $50.00,"4800 BLOCK OF FRIENDSHIP AVE, Pittsburgh, PA"
Theft,09/25/2024 8:44 AM,Motor Vehicle Theft. 18 3921 A Theft by Unlawful Taking-Movable - Motor Vehicle Theft-Autos,"100 BLOCK OF BURROWS ST, Pittsburgh, PA"
Assault,09/25/2024 12:00 AM,Assault. 18 2701 A1 Simple Assault-General,"2500 BLOCK OF CENTRE AVE, Pittsburgh, PA"
Assault,09/24/2024 10:44 PM,Assault. 18 2702.1 A2 Assault of Law Enforcement Officer-Bodily Fluids,"3900 BLOCK OF 5TH AVE, Pittsburgh, PA"
Vandalism,09/24/2024 10:43 PM,Vandalism. 18 3304 A1 Criminal Mischief- Destruction/Damage/Vandalism of Property- Enhanced Grading - Intention,"100 BLOCK OF S BOUQUET ST, Pittsburgh, PA"
Assault,09/24/2024 9:40 PM,Assault. 18 2701 A1 Simple Assault-General,"200 BLOCK OF WHITRIDGE ST, Pittsburgh, PA"
Theft,09/24/2024 8:14 PM,Theft / Larceny. 18 3929 A1 Retail Theft-Take Merchandise- Lowest Grading – 1st Offense and Value Less Than $150,"4700 BLOCK OF CENTRE AVE, Pittsburgh, PA"
Theft,09/24/2024 3:40 PM,Theft / Larceny. 18 3921 A Theft by Unlawful Taking-Movable – Larceny Amount Taken Equals or Exceeds $200 But Is Less,"3300 BLOCK OF WARD ST, Pittsburgh, PA"
Theft,09/24/2024 2:16 PM,Theft / Larceny. 18 3921 A Theft by Unlawful Taking-Movable – Larceny Amount Taken Equals or Exceeds $200 But Is Less,"5000 BLOCK OF PENN AVE, Pittsburgh, PA"
Assault,09/24/2024 1:45 PM,Assault. 18 2702 A1 Aggravated Assault-General-Knife or Cutting Instrument,"3100 BLOCK OF CENTRE AVE, Pittsburgh, PA"
Theft,09/24/2024 12:55 PM,Theft / Larceny. 18 3929 A1 Retail Theft-Take Merchandise- Enhanced Grading – 1st or 2nd Offense and Value $150 Or Mo,"5500 BLOCK OF CENTRE AVE, Pittsburgh, PA"
Theft,09/24/2024 12:25 PM,Theft / Larceny. 18 3921 A Theft by Unlawful Taking-Movable – From Building- Amount Taken Equals or Exceeds $200 But,"000 BLOCK OF BAYARD RD, Pittsburgh, PA"
Theft,09/24/2024 10:50 AM,Motor Vehicle Theft. 18 3921 A Theft by Unlawful Taking-Movable - Motor Vehicle Theft-Autos,"200 BLOCK OF MOREWOOD AVE, Pittsburgh, PA"
